timestamp,speaker,words,tags
00:01:25.500 ,Mya,"What did you think of what you read? Do you feel like it resonates with you? Are there things that you find similar to your sort of experience of like, in particular, this is about like a family registration, or if there are differences?",
00:01:48.930 ,Participant 003,"Oh, I have one of those family registration things. It looks exactly like the one I have.Really yeah actually exactly like it. I get I get what she means... I wouldn't necessarily say that I feel so strongly about it but that's interesting I didn't know that. They did it so you basically would be unrecognizable. I guess that's a little sad but I don't know I mean, I guess, I get it if, if you want to adopt away your child, they're not really supposed to be on your lineage. So yeah I don't know, that's funny I didn't I didn't know that a lot of people had this thing, but I also have one of these things actually also with the same permanent address. Yeah, so I think it's Holt's address. So yeah that's interesting. I get what she means, I just don't feel i'm that much of an orphan. With the barest of social identities in Korea..",adoption-records;records-content; records-content;records-awareness
00:04:20.310 ,Mya,How important or not important is the idea of having like an accurate record of your past to you.,
00:04:30.810 ,Participant 003,"Well, I think what I call it was accurate enough for me to not be like super interested in it. And like obviously I still have some questions, but they are more so not like they're they're more so, something you would ask your mom about and not really you know consult your adoption papers about.So yeah I think that's fine. I think my records are quite boring really. If they said a little bit more about my mom you know when I didn't know her that would have been better. Some basic description of like the household she was in and like did she like basketball, did you play the guitar you know, like just some small effects, and I think that would have brought a lot of comfort to me when I was very little. And to a lot of other people I guess.",truth-and-accuracy;records-content;records-use;records-desired
00:05:27.690 ,Mya,"Given that that type of information isn't available typically or isn't recorded in those types of records who who do you think adoption records are made for. And who should they need for.",
00:05:46.260 ,Participant 003,"Well, in a utopia, they would be made for adoptees, but it's not really like that because in most cases, you know the birth parents also don't really want to be found. So, to be honest, I kind of feel like it's mostly just made for either bureaucracy purposes or you know for for adoptive parents to have something fun to flip through.",records-use;records-desired
00:06:18.810 ,Mya,"Does that.make you feel any certain way, or is it just kind of what it is.",
00:06:24.240 ,Participant 003,Like the last part of it or.,
00:06:25.890 ,Mya,"yeah that if it's not meant for you, but it's about you...",
00:06:33.090 ,Participant 003,"I mean,I don't know. I mean, to be honest, I I don't know It depends on I guess from my standpoint how your parents treat the issue. And how how they frame it. For me, I would have liked that you know they will more easily obtainable by the one it was actually about because itt was very hard to like a get a second copy of my papers when like my mom wouldn't hand me like do original ones, so it definitely isn't made for the adoptee. I'm pretty sure adoption papers are made to fucking confuse us, so...",records-access;records-ownership;
00:07:27.660 ,Mya,"I'm thinking about your experience with Holt and was trying to contact them and to get like a just information, especially when you were younger before you were an adult were you like discouraged by your experience that you had to be so persistent in trying to reach out to them.",
00:07:44.190 ,Participant 003,"Oh yeah definitely definitely they really didn't want to hear from me. But you know they get a lot of like you know emails like this and phone calls like that, so I kind of get it, because you, you can't find every single parent for every single child and that's also not really, you know, their job, the job is to adopt children out and they do so very, very successfully so...",post-adoption-services
00:08:10.530 ,Mya,"I guess another way to look at it, as if they're putting all that work into adopting everyone out shouldn't take the.",
00:08:18.300 ,Participant 003,"I think they should give people better pay, because what I've seen from my personal experience and like what I seen on TV because there are actually have a quite a few documentaries also about like Korean  adopted to Denmark like trying to go back to Korea and like finding their birth parents... I think they should get more social workers, because obviously people are going to come back when they are adults or even minors and they are going to try to find their birth parents and they need to be ready for that demand. And I just know beyond they aren't. And they also don't speak English very well. I mean I get it's annoying that you know so many people call them, so many people email, but I kind of feel like that's what you sign up for when you became an adoption agency, obviously the adption agency is the first place people are going to look. So if they could just you know hire more people, because the ones I talked to what have just seemed incredibly... like very, very unsympathetic and just very tired and very off... very robotic.",other-people;post-adoption-services
00:09:44.910 ,Mya,"What about when you.When your mom got that call.for you to stop trying to contact the hospital and things like that?",
00:10:00.840 ,Participant 003,"Oh well, I would say, you know, to be honest, I didn't really care about that. I was just annoyed my mom was bugging me about it, because you know she was one who didn't want to give me the papers in the first place. I made a huge mess about it, and you know I think I think it's my right to know where I come from, if you if you wanted a child that didn't want to know stuff like that maybe you should have even not adopted or you should you should have gotten a child it looked like you.know because obviously i'm going to ask questions and my mom has been very annoying throughout the process, when I was younger so, to be honest, it didn't it didn't really.You know I guess I didn't really care what you bought or what they fought, and I still believe it's every person's right to to know whether from.",records-access;records-use
00:11:06.930 ,Mya,"Switching to another track, you were mentioning that it's not super important necessarily for you to have the records be completely accurate just because there are things that you can ask your mom and that relationship is sort of more important than than what's actually on paper.",
00:11:27.090 ,Participant 003,"Well, I wouldn't say I don't care about them being accurate, I care about what is in it being accurate. I also heard some horror stories about just, you know, made up shit but that mostly happens when when you know you get dropped off at an orphanage and you don't see who's dropping the kid off or like in China, where they have a lot more adoptees, I think. But no, there are just just things that I don't necessarily think that you should write about in an official paper. Like some of the things that can just ask my mom about, some things might be hard for her to her to talk about, so you know I would rather just try to speak to her about it. One thing is looking at a piece of like bureaucratic paper work and [it's another thing to] have an actual conversation with your parents.",
00:12:28.530 ,Mya,"When you've had those conversations, or when you sort of learned something about like your past or or your mom Have you ever felt like.You wanted to write it down that you want it to have some sort of document that that saved that, even if it wasn't an official and or is it more of just knowledge in your head.",
00:12:52.470 ,Participant 003,"Just knowledge in my head. Before I found my mom hey you know what I knew about it was just etched into my brain, I don't think I would ever be able to forget anything I found out about my mom. It was like inked into my brain so, no, I never really thought about that.",records-meaning;records-creation
00:13:14.490 ,Mya,"And sort of to dovetail off that like we talked last week about the fact that so much for your contact with your mom has been digital.",
00:13:24.240 ,Participant 003,"Yes, all of it.",
00:13:25.050 ,Mya,"Does a physical record, like something that you can hold in your hands or something that you know you can look at the wall and see, mean something different to you than a digital one or do you experience them the same.",
00:13:39.510 ,Participant 003,"I don't know, it depends on what. I mean, I would like to have a picture of her or something that I could put somewhere, but I think it's a weird place to be in because obviously I do care about and stuff but she's just not very good intern at expressing it because we are just different and we come from different cultures. Where I come from, if you care about someone or if you love someone you say it outright. But she's more like, she will asked me randomly if i'm okay, or if i'm eating and stuff like that instead. So I don't know. It really depends. I still have to meet her at some point, and I also am just a bit apprehensive about that, because she does, in my opinion, seem a tad bit flaky and I don't want to be in a situation where I come, either alone or with my significant other to a country where apparently I look like everyone and everyone looks like me, but is so foreign to me... and this is supposed to be my my ancestral home or whatever, [I don't want to be in a situation where I'm there and] then you know my mom is not going to show up. I'm just a bit unsure about her, she doesn't give me the most you know 'you're safe now' feels about it to be honest. She's very to know offhand and just a bit cold I would personally say say. But you know she also just said to me that she does care about me and she's just better texting, and she kind of feels like she's just better at like speaking to someone in person, but we also really can't do that so... And she has tried calling me a couple of times now, and I have always missed it but in almost right away I've seen it and tried to like get her back on the phone, but like then she chickens out and then she doesn't want to. So it would it would really depend on you know how me and her meeting for the first time we'll go, because if she seems warm and would want a relationship with me, then I would be happy to like p a picture of her and, like her husband on the wall, but if not, then, then you know the IT and i'm just you know done. Then I don't need to hear more from her or have her in my life.",birth-culture;connection;family-ties;returning;finding-family;records-creation
00:16:16.230 ,Mya,"Is it scary that you might not have that answer, and until you actually like physically meet her.",
00:16:24.510 ,Participant 003,"I wouldn't say scary. I would say I'm a bit annoyed at her sometimes and I'm a bit annoyed that I feel like we don't communicate very clearly, and she speaks very cordially to me. I thought it would be a warmer relationship. And I know she cares about me, it just wouldn't hurt for her to show it sometimes I guess. So no I wouldn't say scared to be honest, at this point I known about her for so long, and I have tried putting effort into it and of course I want to meet her and of course it would be a dream of mine, and monumental or whatever, but at this point I'm also just kind of different about it, because you know I never you know I never felt that age to like very clearly go meet my mom and be in Korea and spend time in Korea to feel Korean. I don't even feel the need to like learn how to speak Korean. I will at some point if you know I meet her and it turns out, she she wants to have a relationship with me, then I will learn it, then I will study, day and night, and so my eyes fall out but, until then, I just don't have that gap in my identity. I feel Korean enough as is. You know I feel both things at once.",finding-family;connection;family-ties;birth-culture
00:18:07.620 ,Mya,"I think we've actually covered a lot that was in the readings just topically that makes it easy but and was there a record that you wanted to share wanted to talk about?",
